url,movie title,movie link,Image Card,Image Card_link
https://www.mxplayer.in/movies,"Heart Attack
Dub, Hindi, 2014",https://www.mxplayer.in/movie/watch-heart-attack-movie-online-097366645ffe391abf0fcaf259aa37d4,https://j2apps.s.llnwi.net/is1/media/images/097366645ffe391abf0fcaf259aa37d4/2x3/2x/test_pic1555055350621.jpg,https://www.mxplayer.in/movie/watch-heart-attack-movie-online-097366645ffe391abf0fcaf259aa37d4
https://www.mxplayer.in/movies,"Daringbaaz Aashiq
Dub, Hindi, 2010",https://www.mxplayer.in/movie/watch-daringbaaz-aashiq-movie-online-0890251d3720a99835cbc6d29563dd66,https://j2apps.s.llnwi.net/is1/media/images/0890251d3720a99835cbc6d29563dd66/2x3/2x/test_pic1552647186579.jpg,https://www.mxplayer.in/movie/watch-daringbaaz-aashiq-movie-online-0890251d3720a99835cbc6d29563dd66
https://www.mxplayer.in/movies,"Mohabbat Ke Dushman
Dub, Hindi, 2006",https://www.mxplayer.in/movie/watch-mohabbat-ke-dushman-movie-online-b0e66525624dfde1c7d6f458387fe8cd,https://j2apps.s.llnwi.net/is1/media/images/b0e66525624dfde1c7d6f458387fe8cd/2x3/2x/test_pic1555059079328.jpg,https://www.mxplayer.in/movie/watch-mohabbat-ke-dushman-movie-online-b0e66525624dfde1c7d6f458387fe8cd
https://www.mxplayer.in/movies,"Sabse Bada Zero
Dub, Hindi, 2017",https://www.mxplayer.in/movie/watch-sabse-bada-zero-movie-online-164954b519574b389c0af587e7594f9a,https://j2apps.s.llnwi.net/is1/media/images/164954b519574b389c0af587e7594f9a/2x3/2x/2d2698232da8e80bdc01f077c2c82eef_1280x1920.jpg,https://www.mxplayer.in/movie/watch-sabse-bada-zero-movie-online-164954b519574b389c0af587e7594f9a
https://www.mxplayer.in/movies,"Meri Awargi
Dub, Hindi, 2007",https://www.mxplayer.in/movie/watch-meri-awargi-movie-online-00806f99a917aa60e0ed2623bd072fa4,https://j2apps.s.llnwi.net/is1/media/images/00806f99a917aa60e0ed2623bd072fa4/2x3/2x/test_pic1552900320048.jpg,https://www.mxplayer.in/movie/watch-meri-awargi-movie-online-00806f99a917aa60e0ed2623bd072fa4
https://www.mxplayer.in/movies,"Dangerous Khiladi 6
Dub, Hindi, 2013",https://www.mxplayer.in/movie/watch-dangerous-khiladi-6-movie-online-35e8076b7165873ae437265225340b02,https://j2apps.s.llnwi.net/is1/media/images/35e8076b7165873ae437265225340b02/2x3/2x/test_pic1552638956265.jpg,https://www.mxplayer.in/movie/watch-dangerous-khiladi-6-movie-online-35e8076b7165873ae437265225340b02
https://www.mxplayer.in/movies,"VIP 2 Lalkar
Dub, Hindi, 2017",https://www.mxplayer.in/movie/watch-vip-2-lalkar-movie-online-39c615101c69abe551a68b48ccdfc4ee,https://j2apps.s.llnwi.net/is1/media/images/39c615101c69abe551a68b48ccdfc4ee/2x3/2x/test_pic1552646324369.jpg,https://www.mxplayer.in/movie/watch-vip-2-lalkar-movie-online-39c615101c69abe551a68b48ccdfc4ee
https://www.mxplayer.in/movies,"Abhinetri No 1
Dub, Hindi, 2016",https://www.mxplayer.in/movie/watch-abhinetri-no-1-movie-online-ec29247e0630fa21804ed68942221d22,https://j2apps.s.llnwi.net/is1/media/images/ec29247e0630fa21804ed68942221d22/2x3/2x/test_pic1552901355907.jpg,https://www.mxplayer.in/movie/watch-abhinetri-no-1-movie-online-ec29247e0630fa21804ed68942221d22
https://www.mxplayer.in/movies,"Jamai Raja (Maapillai)
Dub, Hindi, 2011",https://www.mxplayer.in/movie/watch-jamai-raja-maapillai-movie-online-725b9a8feb48909f563730436c2a7c86,https://j2apps.s.llnwi.net/is1/media/images/725b9a8feb48909f563730436c2a7c86/2x3/2x/test_pic1555052730827.jpg,https://www.mxplayer.in/movie/watch-jamai-raja-maapillai-movie-online-725b9a8feb48909f563730436c2a7c86
https://www.mxplayer.in/movies,"Gulebagavali
Dub, Hindi, 2018",https://www.mxplayer.in/movie/watch-gulebagavali-movie-online-734e26dc30a4802907312364f02d7454,https://j2apps.s.llnwi.net/is1/media/images/734e26dc30a4802907312364f02d7454/2x3/2x/test_pic1555055265406.jpg,https://www.mxplayer.in/movie/watch-gulebagavali-movie-online-734e26dc30a4802907312364f02d7454
